,123_Glu_Rep1_0h,123_Glu_Rep1_12h,123_Glu_Rep1_6h,123_Glu_Rep1_9h,123_Glu_Rep2_0h,123_Glu_Rep2_12h,123_Glu_Rep2_6h,123_Glu_Rep2_9h,456_Glu_Rep1_0h,456_Glu_Rep1_12h,456_Glu_Rep1_6h,456_Glu_Rep1_9h,456_Glu_Rep2_0h,456_Glu_Rep2_12h,456_Glu_Rep2_6h,456_Glu_Rep2_9h,uGlu_Rep1_0h,uGlu_Rep2_0h,uGlu_Rep1_6h,uGlu_Rep2_6h,uGlu_Rep1_9h,uGlu_Rep2_9h,uGlu_Rep1_12h,uGlu_Rep2_12h,U_Glu_0h,U_Glu_2h,U_Glu_4h,U_Glu_6h,U_Glu_9h,U_Glu_12h
g6p_270_0,4798,4816,3693,4157,6289,6488,7720,2274,6207,5805,4775,5487,10818,7423,8566,11033,38605,35800,33107,25413,15043,15199,38499,12731,40337,11802,12171,10650,13605,16699
g6p_271_0,13799,13291,10528,11645,17207,17813,21853,6286,17683,15136,13001,14187,31140,21100,23902,30190,109881,102735,95569,71627,44211,42034,108606,37509,114890,28699,28621,25587,37209,47726
g6p_271_1,3447,4246,3213,3476,4183,6006,6693,1987,4387,4463,3323,3760,7572,5893,6422,8259,28317,24404,30477,24323,16584,14039,35947,14108,29945,10606,11015,9827,15162,17704
g6p_271_2,1962,2725,1955,2576,2483,4062,4703,1371,2591,2747,2096,2346,4602,3761,4092,5748,16856,15527,22259,16827,11547,11544,26477,10428,18046,7178,7801,7442,10654,14175
g6p_271_3,0,1658,1016,1388,0,2323,1999,339,479,1682,1251,1334,1071,2179,2174,2836,3660,4046,15280,10411,6579,7576,15818,7631,4204,4537,5470,5051,7354,10193
g6p_271_4,0,0,0,0,0,737,348,0,0,325,0,0,443,773,617,966,,,4092,3828,3608,3818,7228,3505,2297,2136,2775,2548,3479,4655
g6p_271_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494,1255,4647,4207,2173,2739,4649,2620,867,1475,2248,1693,2360,3207
g6p_271_6,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,341,2174,2388,5526,4660,2389,3005,7163,2510,2294,2043,2578,2174,3039,4472
g6p_271_7,0,0,0,0,292,0,336,0,0,0,0,0,534,327,0,684,2976,857,3065,1836,1587,,2469,,2782,1153,1247,1258,1550,2629
g6p_370_0,15487,15421,13183,13521,18721,21463,25301,7429,18805,15875,14140,15132,31050,21356,23840,31772,131664,118728,122816,90957,56327,53591,142557,48115,112231,33124,33276,29833,42299,54270
g6p_370_1,4434,5546,3493,4697,5941,7875,8386,2362,6014,5978,4754,5453,10450,7506,8390,10879,42480,39614,40654,31538,19046,18372,48536,16570,38058,12535,12722,11781,15216,18877
g6p_370_2,2115,2623,1744,2349,2659,3829,3984,879,2873,2719,2321,2599,5334,3798,3988,5066,20694,18812,21278,19628,10878,11674,25814,10262,18743,6050,6529,5827,8487,11657
g6p_370_3,2593,3210,2490,2823,3360,4686,5406,1537,3309,4661,3400,4185,6342,6007,6511,8116,17690,15987,26788,21842,14411,15048,34219,14466,22471,10766,11796,11004,15142,20469
g6p_370_4,772,807,382,560,907,1524,1614,0,922,1022,873,1027,1935,1754,1686,2451,5548,4862,8400,6776,4838,4646,9754,4705,7406,3274,3951,3548,5010,6712
